,UnitId,DriverId,Time,Tag,Vin,Lat,Lon,Address,GpsQuality,Heading,SerialNumber,EventIndex,EventCode,FirmwareVersion,Hdop,Vdop,Pdop,NumSatellites,UnitType,OdometerDelta,EngineTimeDelta,AbsEvent,AbsIndicator,AcceleratorPosition,AccelViolationsCount,AdaptiveCruiseEngaged,AirbagDeployed,AirbagLight,AirBrakeEngaged,Altitude,AmbientAirTemp,BrakeIndicator,BrakePedalSwitch,CabinTemperature,Coasting,CoastingTime,CollisionDeceleration,CruiseControlActive,CruiseControlSetSpeed,CurrentGear,DecelViolationsCount,EngineOverspeed,EngineSpeed,EngineTorque,FuelRate,FuelRemaining,HarshAcceleration,HarshBraking,HighEngineTemp,HighWindSpeed,LoadPercent,LostExternalPower,LowBrakeFluid,LowEngineOilPressure,LowFuelLevel,LowTirePressure,MaxAccel,MaxDecel,MilStatus,OBDII_DTC,Panic,Raining,SeatBeltFastened,SeatbeltIndicator,SimCardRemoved,Speed,SpeedingOverMax,SpinOutEvent,StabilityControlEngaged,TotalFuelUsed,TotalHighGearTime,TractionControlEngaged,TrailerCoupled,TripCruiseControlTime,TripDistance,TripDrivingWithoutSeatbeltTime,TripDuration,TripFuelUsed,TripFuelUsed2,TripFullThrottleTime,TripHighGearTime,TripHighRpmTime,TripMaxSpeed,TripOptimalRpmTime,TripSpeedingTime,WindSpeedAlarmCount,WindSpeedPreAlarmCount,YawRate
20,541302894,0,5/5/2014 10:52,14150,1FTFW1EF3DKF98557,31.86184209,-101.8076078,US|79706|Texas|Midland|Fm-1379,Excellent,164,9CAN7VU5N,,,,,,,,M,1.8 km,0:01:00,,,1,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,,,,,FALSE,,0 mph,,,,,,,,0:12:43,21.9 km,0:00:00,0:13:11,2.834 L,,0:00:00,,0:00:00,,0:11:01,0:00:00,,,
21,541302894,0,5/5/2014 10:52,14150,1FTFW1EF3DKF98557,31.86184209,-101.8076078,US|79706|Texas|Midland|Fm-1379,Excellent,164,9CAN7VU5N,,,,,,,,M,0 km,0:00:00,,,0,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,,,,,FALSE,,67.8959874256263 mph,,,,,,,,,,,,,,,,,,,,,,
22,541302894,0,5/5/2014 10:52,14150,1FTFW1EF3DKF98557,31.86184209,-101.8076078,US|79706|Texas|Midland|Fm-1379,Excellent,164,9CAN7VU5N,,,,,,,,M,0 km,0:00:00,,,0,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,,,,,FALSE,,67.8959874256263 mph,,,,,,,,0:00:00,0 km,0:00:00,0:00:00,0 L,,0:00:00,,0:00:00,,0:00:00,0:00:00,,,
23,217469893,487913050,5/5/2014 10:52,10367,1FMJU1G56AEA34556,32.03367245,-102.0055227,US|79705|Texas|Midland|N Cr-1140,Excellent,0,4331088559,,,,,,,,L,0 km,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mph,,,,,,,,,,,,,,,,,,,,,,
24,334681432,427403638,5/5/2014 10:52,12231,1FT7W2B63CEB42148,28.92728933,-96.99515593,US|77904|Texas|Victoria|Us-77 N [Us-77],Excellent,270,9CANL8GBL,,,,,,,,M,0 km,0:00:00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,OBDII C0049-7B,,,,,,0 mph,,,,,,,,,,,,,,,,,,,,,,
25,304478572,362378530,5/5/2014 10:52,11564,1FT7X2B61CEA15945,31.68635587,-101.7330478,US|79739|Texas|Garden City|Sohio,Excellent,211,9CANALM2L,,,,,,,,M,1.8 km,0:03:00,,,0,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,OBDII B11E8-16,,,,FALSE,,0 mph,,,,,,,,,,,,,,,,,,,,,,
26,304478572,362378530,5/5/2014 10:53,11564,1FT7X2B61CEA15945,31.68635587,-101.7330478,US|79739|Texas|Garden City|Sohio,Excellent,270,9CANALM2L,,,,,,,,M,0 km,0:01:00,,,0,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,OBDII B11E8-16,,,,FALSE,,0 mph,,,,,,,,,,,,,,,,,,,,,,
27,304478572,362378530,5/5/2014 10:53,11564,1FT7X2B61CEA15945,31.68635587,-101.7330478,US|79739|Texas|Garden City|Sohio,Excellent,270,9CANALM2L,,,,,,,,M,0 km,0:00:00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,OBDII B11E8-16,,,,,,0 mph,,,,,,,,0:06:50,,0:00:00,0:13:01,3.302 L,,0:00:00,,0:00:00,,0:09:19,0:00:00,,,
28,304478572,362378530,5/5/2014 10:53,11564,1FT7X2B61CEA15945,31.68635587,-101.7330478,US|79739|Texas|Garden City|Sohio,Excellent,270,9CANALM2L,,,,,,,,M,0 km,0:00:00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,OBDII B11E8-16,,,,,,0 mph,,,,,,,,,,,,,,,,,,,,,,
29,304486346,357716454,5/5/2014 10:52,11640,1FTFW1EF0CKD25283,28.97169733,-98.47857451,US|78064|Texas|Pleasanton|2nd St [Us-281],Excellent,50,9CANI1GBL,,,,,,,,M,1.4 km,0:02:00,,,0,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,OBDII C1963,,,,FALSE,,0 mph,,,,,,,,,,,,,,,,,,,,,,
30,304486346,357716454,5/5/2014 10:52,11640,1FTFW1EF0CKD25283,28.97169733,-98.47857451,US|78064|Texas|Pleasanton|2nd St [Us-281],Excellent,50,9CANI1GBL,,,,,,,,M,0 km,0:00:00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,OBDII C1963,,,,,,0 mph,,,,,,,,0:00:00,,0:00:00,0:05:51,0.558 L,,0:00:00,,0:00:00,,0:00:39,0:00:00,,,
